Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,0.001431241747,0.02893630844,0.01758247306,0.00793554956,0.05357259251,0.07232299265,0.0579742132,-0.05146002394,0.04691794501,0.02646953578,0.03757004059,0.002294153203,-0.002924127038,-0.02989439592,0.01118993118,0.0131907256,0.006916144756,0.000861339473,0.01024984575,0.004491464244,0.0117375764,0.04236165498,0.03301223097,0.004998378188,0.02913495519,0.2888965675,0.3802361669,0.350304291,0.5253620892,0.1454439046,0.09557936765,0.4459607833,0.6894723356,1.170651674,0.6358638995,0.8177569227,1.449657916,0.8795171425,1.068967663,0.9833993642,1.188503919,1.735320125,1.468703051,1.450782455,0.8795283403,0.6163417846,0.7535491341,0.5432441416,0.4078598949,0.414118154,0.3553087234,0.3166682206,0.3346502913
Bulgaria,BGR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.01938727402,0.7327554901,0.4823961653,0.3692740047,1.085563851,0.4760028126,0.886541779,4.460890047,3.57471418,6.004122872,7.56080762,5.731626859,5.515194615,9.916258528,11.74623865,13.72047901,22.90387835,31.22862452,18.89976381,7.490157326,3.635696368,3.647300347,3.293199049,3.563357729,1.91587739,4.375750662,2.759960396,3.392546584,2.731798916,3.236369503,4.692600117,2.766480207,5.591539794,5.447316523,3.119444868
Bahrain,BHR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,0.4467027355,0.01055483016,0.1200974317,0.2029449758,0.03267874813,1.011006776,5.356565673,-11.96498801,0.1052468862,0.6864790412,1.509189664,3.168103206,2.440284199,-0.919539657,-0.9309041992,5.275135765,4.116712853,1.907788943,11.80082637,16.07885314,-4.650768788,3.28947938,6.473839058,29.52007284,4.561096662,2.552219113,6.026960183,4.011545582,0.8952439444,2.261808944,4.665543678,6.580210025,6.566594458,15.75086501,8.08243219,6.977577827,1.12105291,0.5811053566,2.610260386,4.832654365,11.02113061,4.36728984,0.1995296334,0.7181742832,3.833008912,4.180793087,2.3283798,2.849732281,4.356625979,4.200184563,15.64287561,5.661596746
"Bahamas, The",BHS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,14.88785911,9.532612469,15.3037739,15.24072142,22.68184693,2.948674925,2.273789129,4.403927069,-0.1321480058,0.842252953,0.3070471055,2.41149667,0.1774060698,-0.3462603878,-0.2400666307,-1.301331551,-0.5338725986,0.3979366396,1.302388303,0.8295231875,-0.5369551485,-0.04178505766,0.009649404953,0.882923674,0.7241485118,3.117526976,2.432806872,3.316299136,2.149791753,1.943031311,3.098507145,1.230729649,1.720383373,2.144284895,3.021438297,5.727971168,6.947601367,6.718093412,8.171729024,6.651599485,8.636992163,6.619575093,4.908128428,3.649079263,2.255814463,0.6426634178,3.285946657,2.447095848,3.833349111,3.632065274,4.193683416,3.182394111,3.820404341,2.111519354,1.519320886
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.621086401,3.772320186,2.62359146,2.042804259,3.979797534,4.49216829,8.758860397,5.558444017,6.575773589,11.67376419,5.257486278,0.7863711824,2.584024491,2.529527381,2.275398813,1.723379382,2.935902623,2.335293029,1.829756975,2.77975919,2.937813584,2.186613775,2.389390484,3.242308168,3.470413489,3.751684073,3.977230402
Belarus,BLR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04132282609,0.1081408325,0.07032143821,0.105205276,0.7081458932,2.488219611,1.334966767,3.657860508,0.9327317874,0.775405865,1.693057054,0.9637908207,0.707817258,1.014892645,0.9661301374,3.991764945,3.601356614,3.688584963,2.434656004,6.480319977,2.228180192,2.973881363,2.362552329,2.926767755,2.612756432,2.332189195,2.376271207,1.976861708,2.270102678,1.766406879,2.177450119,2.748540011,2.272868653
Belize,BLZ,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,13.29211489,5.653859645,,,,,,,1.467351431,-0.03293807642,,-0.7670182167,,,-1.274324092,1.287852419,1.476725522,1.845863649,3.32186499,3.797597231,3.143562094,2.277675431,2.240574506,1.222022979,1.990094523,2.570050668,1.948639596,1.368788642,1.89887036,5.865683579,2.59589533,5.21613991,2.04564953,-0.8346516734,7.959179524,8.604255461,6.83961566,8.222935813,9.757228678,6.445963069,5.524997255,5.218714605,10.17080804,4.53807556,6.598715321,2.695753581,1.461182528,1.404563187,5.321776821,3.932095704,3.730220697,5.184585867,4.949870644,0.5229316897,3.637318482
Bermuda,BMU,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.183158775,3.280366226,1.819859206,1.922292821,1.135720502,0.1371523315,0.3081314455,18.54303395,0.8976741817,-1.435058594,9.120047167,2.457444723,-1.062917926,3.356840803,-4.084882161,0.7465144501,0.849151218,-0.05340578317,-2.150326914,-1.061083159,-4.033835397,1.320463261,0.05913446753,6.918729484,0.6814189266,0.07484751676,1.757822594,
Bolivia,BOL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.962986251,0.1751690135,1.259958126,0.364039245,2.105030219,2.56024772,-0.2963396565,-0.03716263297,0.3058429297,0.7759671877,1.056094338,1.310033088,0.5553184069,0.129294216,0.1134649776,0.1859677424,0.252564571,0.8762737488,-0.2196792734,-0.5173905308,0.5587989409,0.9731882051,1.649577695,2.158787923,2.176812386,5.847960416,6.409399225,9.218070401,11.17152807,12.19664624,8.768309973,8.668605694,8.557893506,2.442343967,0.7457726087,-2.498868245,2.451687561,2.791853857,3.072610748,2.439678146,3.165428676,3.584422514,3.913550146,5.706622119,1.989824856,1.68072788,0.9880801495,1.899493281,0.7505247809,-0.5297350113,-3.083516483,1.444277611,0.01417228684,0.5320511445,
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.9253995036,0.918767247,0.7870302294,1.412451076,1.100145985,1.007712209,1.015218821,1.039445031,1.001604534,1.092897634,0.8049925888,0.9766867404,1.072557546,0.8483758513,0.8463418389,0.683327514,0.1345129653,0.412991261,0.9107387345,0.2738559659,0.2569099302,0.322011744,0.6279862294,0.3508085648,0.5847313541,0.6315860204,1.475965411,2.150453059,3.340888093,4.733770227,5.033916805,4.147593774,3.253580613,1.813400524,2.713531663,1.733893546,1.753125704,3.190826013,2.990609469,1.888482241,3.730012884,3.915180114,3.754962856,3.041509016,3.57135267,3.592149318,4.137378039,3.338259817,4.078588215,3.692673213,2.592637953,2.779790849,3.822196153,2.849754682,3.26096416
